name,publisher,description,rss_url,itunes_match_confidence
Bloomberg Tech,,"Listen for news and analysis on global technology companies and investors. Hosts Caroline Hyde and Ed Ludlow bring you the only daily news program focused exclusively on technology, innovation and the",https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/41764a4f-fc64-4e11-89ba-ae7c0030ab5e/9caafc41-289c-4115-995d-ae7c0030ab75/podcast.rss,1.00
Bloomberg Daybreak: Europe Edition,,"Bloomberg Daybreak Europe is the daily morning podcast that helps you understand the stories shaping Europe and the world before the day gets going. Produced in the early hours each weekday, the show ",https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/c1b39a51-1327-40f8-ae83-af80014e0b5c/8a433f03-1a96-430e-a3d0-af80014e0b7d/podcast.rss,1.00
No Priors: Artificial Intelligence | Technology | Startups,,"At this moment of inflection in technology, co-hosts Elad Gil and Sarah Guo talk to the world's leading AI engineers, researchers and founders about the biggest questions: How far away is AGI? What ma",https://feeds.megaphone.fm/nopriors,1.00
The MAD Podcast with Matt Turck,,"The MAD Podcast with Matt Turck, is a series of conversations with leaders from across the Machine Learning, AI, & Data landscape hosted by leading AI & data investor and Partner at FirstMark Capital,",https://anchor.fm/s/f2ee4948/podcast/rss,1.00
The AI Daily Brief: Artificial Intelligence News and Analysis,,"A daily news analysis show on all things artificial intelligence. NLW looks at AI from multiple angles, from the explosion of creativity brought on by new tools like Midjourney and ChatGPT to the pote",https://anchor.fm/s/f7cac464/podcast/rss,1.00
Forward Future Interviews,,"Long-form interviews with tech insiders, builders, and futurists. Hosted by Matthew Berman. We explore the practical side of emerging technology and the ideas shaping our daily lives.",https://feed.podbean.com/futuredesignacademy/feed.xml,0.38
Cheeky Pint,,"Stripe cofounder John Collison interviews founders, builders, and leaders over a pint.",https://feeds.transistor.fm/cheeky-pint-with-john-collison,1.00
Lex Fridman Podcast,,"Conversations that explore technology, history, philosophy, physics, mathematics, biology, chemistry, engineering, AI, robotics, programming, music, film, art, sports, psychology, neuroscience, geopol",https://lexfridman.com/feed/podcast/,1.00
The Vergecast,,"The Vergecast is the flagship podcast from The Verge about small gadgets, Big Tech, and everything in between. Every Friday, hosts Nilay Patel and David Pierce hang out and make sense of the week’s mo",https://feeds.megaphone.fm/vergecast,1.00
Dwarkesh Podcast,,Deeply researched interviews www.dwarkesh.com,https://apple.dwarkesh-podcast.workers.dev/feed.rss,1.00
ACCESS,,"ACCESS is a show about the tech industry’s inside conversation.  Hosted by Alex Heath, the most connected tech reporter out there, and Ellis Hamburger, the founder whisperer for today’s hottest AI sta",https://feeds.megaphone.fm/VMP5858892209,1.00
Invest Like the Best with Patrick O'Shaughnessy,,"Conversations with the best investors and business leaders in the world. We explore their ideas, methods, and stories to help you better invest your time and money. Hear stock market and boardroom ins",https://feeds.megaphone.fm/CLS2859450455,1.00
Another Podcast,,"If you're looking for another over-scripted and edited podcast, this is not it. But if you want to listen to honest and unfiltered discussions about the latest in tech and its impact on society, welco",https://feeds.simplecast.com/bZ7U2PEk,1.00
AI + a16z,,"Artificial intelligence is changing everything from art to enterprise IT, and a16z is watching all of it with a close eye. This podcast features discussions with leading AI engineers, founders, and ex",https://feeds.simplecast.com/Hb_IuXOo,1.00
Stratechery,,"Content from Stratechery, via podcast or RSS",https://sharptech.fm/feed/podcast,0.36
Business Breakdowns,,Learn how companies work from the people who know them best. Each episode dissects a single business - from its origins and model to its financials and competitive edge. Join hosts Matt Reustle and Za,https://feeds.megaphone.fm/breakdowns,1.00
In Good Company with Nicolai Tangen,,"The CEO of the largest single investor in the world, Norges Bank Investment Management, interviews leaders of some of the largest companies in the world. You will get to know the leader, their strateg",https://feeds.acast.com/public/shows/622618c7057f3400120d15db,1.00
The a16z Show,,"The a16z Show discusses tech and culture trends, news, and the future – especially as ‘software eats the world’. It features industry experts, business leaders, and other interesting thinkers and voic",https://feeds.simplecast.com/JGE3yC0V,1.00
Money Stuff: The Podcast,,"The audio companion to Bloomberg Opinion’s beloved Money Stuff column hosted by its author Matt Levine, “whose deadpan style mixes technical elucidation and wit” (NY Times). Once a week, Matt and his ",https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/ee4336cb-155f-4488-90e0-b1400134e40e/77e6a3a7-290d-4a82-8164-b14001353ef2/podcast.rss,1.00
Pivot,,"With great power, comes great scrutiny. Every Tuesday and Friday, journalist Kara Swisher and NYU Professor Scott Galloway offer sharp, unfiltered insights into the biggest stories in tech, business, ",https://feeds.megaphone.fm/pivot,1.00
Odd Lots,,"Bloomberg's Joe Weisenthal and Tracy Alloway explore the most interesting topics in finance, markets and economics. Join the conversation every Monday and Thursday.",https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/8a94442e-5a74-4fa2-8b8d-ae27003a8d6b/982f5071-765c-403d-969d-ae27003a8d83/podcast.rss,1.00
Decoder with Nilay Patel,,Decoder is a show from The Verge about big ideas — and other problems. Verge editor-in-chief Nilay Patel talks to a diverse cast of innovators and policymakers at the frontiers of business and technol,https://feeds.megaphone.fm/recodedecode,1.00
The Twenty Minute VC (20VC): Venture Capital | Startup Funding | The Pitch,,"The Twenty Minute VC (20VC) interviews the world's greatest venture capitalists with prior guests including Sequoia's Doug Leone and Benchmark's Bill Gurley. Once per week, 20VC Host, Harry Stebbings ",https://rss.libsyn.com/shows/61840/destinations/240976.xml,1.00
Unhedged,,"Katie Martin, Robert Armstrong and other markets nerds at the Financial Times explain the big ideas behind what’s happening in finance right now. Every Tuesday and Thursday. Hosted on Acast. See acast",https://feeds.acast.com/public/shows/6478a825654260001190a7cb,1.00
Behind the Money,,Behind the Money takes you inside the business and financial stories of the moment with reporting from Financial Times journalists around the world.  Hosted on Acast. See acast.com/privacy for more in,https://feeds.acast.com/public/shows/6a13c15d-181a-4a2e-a662-739d0e7f731a,1.00
Prof G Markets,,"Prof G Markets breaks down the news that’s moving the capital markets, helping you build financial literacy and security. Join Scott Galloway and Ed Elson every weekday for no mercy, no malice insight",https://feeds.megaphone.fm/profgmarkets,1.00
The Markets,,What’s driving this week’s market moves – and where are the biggest opportunities? Goldman Sachs traders discuss.,https://feeds.megaphone.fm/GLD9322922848,1.00
Thoughts on the Market,,"Short, thoughtful and regular takes on recent events in the markets from a variety of perspectives and voices within Morgan Stanley.",https://rss.art19.com/thoughts-on-the-market,1.00
FT News Briefing,,"A rundown of the most important global business stories you need to know for the coming day, from the newsroom of the Financial Times. Available every weekday morning. Hosted on Acast. See acast.com/p",https://feeds.acast.com/public/shows/73fe3ede-5c5c-4850-96a8-30db8dbae8bf,1.00
Exchanges,,"In each episode of ""Exchanges,"" people from the firm share their insights on developments shaping industries, markets and the global economy.",https://feeds.megaphone.fm/GLD9218176758,1.00
